tokens		lexemes
--------------------
Keyword:		int
Keyword:		main
Separator:		(
Separator:		)
Separator:		{
Keyword:		for
Separator:		(
Keyword:		int
Identifier:		i
Operator:		=
Integer:		22
Puntuation:		;
Identifier:		i
Operator:		<=
Integer:		100
Puntuation:		;
Identifier:		i
Operator:		=
Identifier:		i
Operator:		+
Integer:		1
Separator:		)
Separator:		{
Keyword:		while
Separator:		(
Identifier:		i
Operator:		==
Integer:		100
Separator:		)
Separator:		{
Keyword:		cout
Operator:		<<
String:		"Hello World!"
Puntuation:		;
Separator:		}
Separator:		}
Keyword:		return
Integer:		0
Puntuation:		;
Separator:		}
